# -------------------------------------------------------
# App: nz.thesmartlemon.tap, date: 20120406-20120407
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120407,Android 2.2,2,0,2,2,0,2,2,0
20120407,Android 2.1,1,1,1,1,1,0,0,0
20120407,Android 4.0.3,1,1,1,1,1,0,0,0
20120407,Android 2.3.3+,6,4,6,6,4,1,1,0
